No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
374,SLF,Sun Life Financial Inc.,29649807360,51.06,0.65%,26180740741
375,DG,Dollar General Corporation,29392226304,132.30,-1.21%,39036002000
376,ZS,"Zscaler, Inc.",29354606592,200.05,1.08%,1758107000
377,CCEP,Coca-Cola Europacific Partners PLC,29210050560,64.02,0.61%,19798901099
378,GFS,GLOBALFOUNDRIES Inc.,29186777088,52.76,3.29%,7639000000
379,HPQ,HP Inc.,29168758784,29.41,3.23%,53754000000
380,IR,Ingersoll Rand Inc.,29080614912,72.55,1.64%,6678400000
381,RYAAY,Ryanair Holdings plc,28824221696,126.15,1.64%,11712173913
382,VEEV,Veeva Systems Inc.,28659423232,172.95,-3.05%,2296444000
383,ELP,Cia Paranaense De Energia Copel,28566724608,9.61,0.21%,4145126843
384,MLM,"Martin Marietta Materials, Inc.",28460980224,465.33,1.05%,6645500000
385,ARGX,argenx SE,28228476928,457.77,1.56%,10737363
386,VMC,Vulcan Materials Company,28159774720,214.17,1.06%,7679600000
387,CQP,"Cheniere Energy Partners, L.P.",28088782848,59.30,2.19%,11699000000
388,CDW,CDW Corporation,28076675072,212.58,1.43%,21795800000
389,PWR,"Quanta Services, Inc.",27872925696,194.38,1.32%,19514876000
390,DVN,Devon Energy Corporation,27710275584,43.46,0.49%,15412000000
391,EFX,Equifax Inc.,27669608448,224.25,-0.14%,5136700000
392,MDB,"MongoDB, Inc.",27649718272,384.24,-0.82%,1586321000
393,FICO,Fair Isaac Corporation,27471884288,1118.06,0.58%,1513557000
394,CPNG,"Coupang, Inc.",27460452352,15.36,0.85%,23148748000
395,DLTR,"Dollar Tree, Inc.",27458408448,126.74,0.56%,29684600000
396,TU,TELUS Corporation,27397650432,18.95,0.64%,14797037037
397,SBAC,SBA Communications Corporation,27132502016,251.12,-0.15%,2722654000
398,BCS,Barclays PLC,27116521472,7.16,1.27%,31690361446
399,WEC,"WEC Energy Group, Inc.",26783588352,85.00,0.11%,9233900000
400,PKX,POSCO Holdings Inc.,26781110272,86.31,0.95%,60587861678
401,SYM,Symbotic Inc.,26743332864,48.05,-3.20%,1176891000
402,BF.A,Brown-Forman Corporation,26693144576,56.34,1.17%,4272000000
403,MPWR,"Monolithic Power Systems, Inc.",26554746880,568.50,2.57%,1827072000
404,NTR,Nutrien Ltd.,26403864576,54.28,1.67%,30925000000
405,WBD,"Warner Bros. Discovery, Inc.",26385326080,10.82,-0.92%,42045000000
406,WIT,Wipro Limited,26298519552,4.98,0.20%,11041535315
407,TTWO,"Take-Two Interactive Software, Inc.",26263599104,154.21,-1.98%,5437900000
408,FANG,"Diamondback Energy, Inc.",26217721856,147.59,0.76%,8214000000
409,CAH,"Cardinal Health, Inc.",26093568000,106.38,0.48%,210172000000
410,AEM,Agnico Eagle Mines Limited,26088005632,52.51,-0.79%,6254988000
411,EC,Ecopetrol S.A.,25962893312,12.37,0.73%,32913572401
412,AWK,"American Water Works Company, Inc.",25837350912,132.55,-0.11%,4133000000
413,NET,"Cloudflare, Inc.",25770500096,76.80,0.18%,1208972000
414,EIX,Edison International,25760495616,67.31,0.22%,16648000000
415,XYL,Xylem Inc.,25506054144,106.04,-0.06%,6752000000
416,DB,Deutsche Bank Aktiengesellschaft,25505071104,12.53,0.64%,27486170213
417,SPLK,Splunk Inc.,25473828864,151.01,-0.06%,3980553000
418,TEF,"Telefónica, S.A.",25382926336,4.32,0.93%,42545744681
419,WST,"West Pharmaceutical Services, Inc.",25373286400,341.19,-0.51%,2926500000
420,CBRE,"CBRE Group, Inc.",25194190848,82.66,1.49%,31193512000
421,DFS,Discover Financial Services,25180839936,102.33,1.62%,10415000000
422,WTW,Willis Towers Watson PLC,25063266304,242.72,0.51%,9291000000
423,DAL,"Delta Air Lines, Inc.",25056446464,40.34,3.60%,57260000000
424,TLK,Telkom Indonesia (Persero) Tbk PT,24973580288,25.13,,9477747824
425,KEYS,"Keysight Technologies, Inc.",24915419136,141.89,0.61%,5464000000
426,RBLX,Roblox Corporation,24862158848,39.86,-0.25%,2628339000
427,AVB,"AvalonBay Communities, Inc.",24851206144,175.38,0.22%,2732874000
428,HUBS,"HubSpot, Inc.",24824014848,492.04,-1.16%,2057971000
429,VOD,Vodafone Group PLC,24585275392,8.84,-2.21%,47567021277
430,GLW,Corning Incorporated,24562909184,29.01,0.76%,13000000000
431,NWG,NatWest Group plc,24559978496,5.60,1.82%,14923000000
432,ZBH,"Zimmer Biomet Holdings, Inc.",24553177088,117.29,1.00%,7279300000
433,ANSS,"ANSYS, Inc.",24498128896,286.11,1.46%,2158956000
434,SNAP,Snap Inc.,24284399616,14.76,-0.07%,4544563000
435,FTV,Fortive Corporation,24247189504,69.06,0.55%,6011500000
436,GIB,CGI Inc.,24087224320,104.02,0.36%,10589896296
437,RCI,Rogers Communications Inc.,24068245504,45.55,0.77%,13436296296
438,RMD,ResMed Inc.,24024537088,163.49,-0.31%,4375020000
439,ULTA,"Ulta Beauty, Inc.",24014147584,489.85,-0.94%,10879778000
440,GRMN,Garmin Ltd.,23931682816,124.39,-0.55%,5052105000
441,MTD,Mettler-Toledo International Inc.,23852613632,1100.02,0.62%,3911002000
442,BNTX,BioNTech SE,23823646720,101.93,0.58%,7040744681
443,HIG,"The Hartford Financial Services Group, Inc.",23577358336,78.29,-0.13%,24143000000
444,CHD,"Church & Dwight Co., Inc.",23044108288,94.15,0.66%,5775900000
445,APTV,Aptiv PLC,22877878272,80.85,-0.04%,19772000000
446,CCL,Carnival Corporation & plc,22833424384,17.93,2.57%,20036000000
447,TSCO,Tractor Supply Company,22645559296,209.05,-0.20%,14902275000
448,WY,Weyerhaeuser Company,22630031360,30.89,-1.12%,7723000000
449,PINS,"Pinterest, Inc.",22604513280,34.02,1.49%,2951018000
450,PDX,PIMCO Dynamic Income Strategy Fund,22539094016,20.07,-0.45%,
451,BR,"Broadridge Financial Solutions, Inc.",22517635072,192.01,0.32%,6208700000
452,STT,State Street Corporation,22358454272,73.18,2.44%,12057000000
453,TROW,"T. Rowe Price Group, Inc.",22317948928,99.94,0.07%,6342700000
454,DTE,DTE Energy Company,22137780224,107.22,-0.10%,13827000000
455,EQR,Equity Residential,22126575616,58.70,0.74%,2846167000
456,ICLR,ICON PLC,22099859456,268.19,-0.09%,8015930000
457,VRSN,"VeriSign, Inc.",22051557376,214.59,-0.64%,1481900000
458,ALNY,"Alnylam Pharmaceuticals, Inc.",21971943424,177.26,1.28%,1723609000
459,SE,Sea Limited,21942722560,39.04,1.19%,12898516000
460,MTB,M&T Bank Corporation,21928296448,132.78,1.49%,9341577000
461,RJF,"Raymond James Financial, Inc.",21920423936,105.37,0.28%,11619000000
462,IX,ORIX Corporation,21797117952,94.27,1.51%,18006035183
463,WPM,Wheaton Precious Metals Corp.,21692096512,47.82,-0.31%,938625000
464,ZM,"Zoom Video Communications, Inc.",21595768832,71.93,1.40%,4498570000
465,HWM,Howmet Aerospace Inc.,21538328576,52.74,0.82%,6422000000
466,TCOM,Trip.com Group Limited,21533063168,33.02,0.79%,5393672627
467,EBAY,eBay Inc.,21522929664,41.48,0.02%,10060000000
468,HEI.A,HEICO Corporation,21497835520,142.57,1.59%,2641296000
469,FE,FirstEnergy Corp.,21489371136,37.30,-0.40%,12901000000
470,ETR,Entergy Corporation,21475082240,101.89,0.33%,12695107000
471,TW,Tradeweb Markets Inc.,21471578112,91.47,-1.32%,1261261000
472,MT,ArcelorMittal S.A.,21409835008,25.52,1.15%,79844000000
473,HEI,HEICO Corporation,21300465664,177.73,1.44%,2641296000
474,ARE,"Alexandria Real Estate Equities, Inc.",21276143616,121.96,0.11%,2798764000
475,WAB,Westinghouse Air Brake Technologies Corporation,21246466048,118.86,0.48%,9457000000
476,MOH,"Molina Healthcare, Inc.",21151823872,363.43,0.17%,33247000000
477,ES,Eversource Energy,21099292672,60.37,-0.38%,12246207000
478,BRO,"Brown & Brown, Inc.",21037484032,73.78,-0.19%,4132400000
479,GMAB,Genmab A/S,21001650176,32.36,0.59%,2414609929
480,AEE,Ameren Corporation,20796317696,78.73,-0.46%,7928000000
481,FITB,Fifth Third Bancorp,20607576064,30.81,1.82%,8221000000
482,FNV,Franco-Nevada Corporation,20556734464,107.41,0.38%,1236100000
483,TS,Tenaris S.A.,20543406080,33.56,0.54%,15074140000
484,HPE,Hewlett Packard Enterprise Company,20533458944,16.12,1.51%,29135000000
485,RKT,"Rocket Companies, Inc.",20409571328,10.35,0.78%,3586255000
486,FCNCA,"First Citizens BancShares, Inc.",20364490752,1429.38,1.03%,16359000000
487,NVR,"NVR, Inc.",20183916544,6444.80,1.26%,9595547000
488,INVH,Invitation Homes Inc.,20130922496,32.75,-0.64%,2387793000
489,DOV,Dover Corporation,20023701504,143.69,0.34%,8471558000
490,ROL,"Rollins, Inc.",20014970880,41.36,0.02%,2980582000
491,FTS,Fortis Inc.,19965831168,40.86,-0.20%,8740740741
492,PHM,"PulteGroup, Inc.",19933915136,94.46,2.16%,16939305000
493,WBA,"Walgreens Boots Alliance, Inc.",19904602112,22.91,7.16%,139081000000
494,UMC,United Microelectronics Corporation,19836180480,7.80,1.04%,8153379145
495,STE,STERIS plc,19689891840,201.99,1.35%,5227733000
496,BGNE,"BeiGene, Ltd.",19600558080,179.36,-1.43%,2204465000
497,CCJ,Cameco Corporation,19476199424,44.22,-1.49%,1363505839
498,EXPE,"Expedia Group, Inc.",19430389760,143.65,3.35%,12570000000
499,PPL,PPL Corporation,19408474112,26.09,,8571000000
500,DRI,"Darden Restaurants, Inc.",19401996288,161.09,-0.11%,10772300000
